task,topology,mas_prompt,sample_idx,gold,prediction,correct,target_seed,matched_trajectories,num_repeated_trajectories,uprop_uncertainty,intrinsic_uncertainty,extrinsic_uncertainty,mean_step_pe
medqa,sequential,role,0,c,a,0,42,1,10,135.29835140654532,541.8372589453354,4.402982270075373,135.45931473633385
medqa,sequential,role,1,d,d,1,42,9,10,110.56631026528193,443.8157553617188,7.604284877348552,110.9539388404297
medqa,sequential,role,2,d,None,0,42,2,10,144.50304761440248,578.7056201689323,4.703929510678665,144.67640504223309
medqa,sequential,role,3,c,b,0,42,1,10,156.59220756283997,626.7623021439416,4.737924335597055,156.6905755359854
medqa,sequential,role,4,c,None,0,42,6,10,144.60518052624244,579.1385711048215,4.8103396172215716,144.78464277620537
medqa,sequential,role,5,d,None,0,42,5,10,169.16763567246986,677.1567863224537,5.101722778392174,169.28919658061344
medqa,sequential,role,6,a,None,0,42,4,10,147.59754651848348,590.7592034577294,2.6981078995336922,147.68980086443236
medqa,sequential,role,7,a,b,0,42,2,10,158.3093490453166,633.8562555964024,5.654775010417109,158.4640638991006
medqa,sequential,role,8,c,b,0,42,1,10,130.33286525006855,521.8310898103831,3.136950419259036,130.45777245259578
medqa,sequential,role,9,a,d,0,42,8,10,131.07550891791212,525.1880011453733,3.3138377381211037,131.29700028634332
medqa,sequential,role,10,b,None,0,42,7,10,102.93611431386478,412.24269050390166,4.082848113854737,103.06067262597541
medqa,sequential,role,11,d,b,0,42,5,10,136.89585645123861,548.6279723705383,4.465695546660096,137.15699309263456
medqa,sequential,role,12,d,None,0,42,8,10,139.08301112290752,556.6387612912365,3.0853816138422263,139.15969032280913
medqa,sequential,role,13,a,a,1,42,2,10,153.25226851977737,613.9543148647662,8.29357850261827,153.48857871619154
medqa,sequential,role,14,a,c,0,42,2,10,133.71840604796017,536.4412413989367,8.516020971628025,134.11031034973416
medqa,sequential,role,15,c,c,1,42,6,10,130.0866497434099,522.5286587983269,7.95262608677352,130.63216469958172
medqa,sequential,role,16,b,d,0,42,7,10,115.8053810389201,464.87731198134463,9.051219697362411,116.21932799533616
medqa,sequential,role,17,a,d,0,42,4,10,131.65639074092377,527.7591207539557,8.424760083859518,131.93978018848892
medqa,sequential,role,18,c,d,0,42,1,10,135.01110549578158,540.5954597244063,3.748958152142983,135.14886493110157
medqa,sequential,role,19,a,a,1,42,5,10,123.17975239012614,493.6840652138567,7.401784238120951,123.42101630346417
medqa,sequential,role,20,b,c,0,42,1,10,158.1099817822829,632.8244335174732,2.8607525929127062,158.2061083793683
medqa,sequential,role,21,b,c,0,42,1,10,144.08055815912527,576.8473342708935,5.547994528924586,144.21183356772337
medqa,sequential,role,22,b,a,0,42,2,10,139.0846668052856,557.4225335086048,5.594212618034843,139.3556333771512
medqa,sequential,role,23,d,None,0,42,6,10,135.41396371503237,541.9913878622073,4.031688348104683,135.49784696555182
medqa,sequential,role,24,b,None,0,42,10,10,144.56802056023687,578.7319312675216,2.8498518579721566,144.6829828168804
medqa,sequential,role,25,d,None,0,42,6,10,169.0745501098539,677.1061440689128,4.873519912678714,169.2765360172282
medqa,sequential,role,26,a,a,1,42,4,10,159.3308578317812,638.3091198373779,4.488587169555194,159.57727995934448
medqa,sequential,role,27,b,b,1,42,9,10,99.82159204550102,400.2745556267369,6.84029932245267,100.06863890668423
medqa,sequential,role,28,c,None,0,42,7,10,129.90363223365028,520.3935986114185,4.381253644221968,130.09839965285462
medqa,sequential,role,29,a,c,0,42,1,10,164.69358146653087,659.2150212559305,3.229642210750343,164.80375531398263
medqa,sequential,role,30,d,d,1,42,7,10,105.03636050851877,421.9212043500822,6.065551698344647,105.48030108752054
medqa,sequential,role,31,b,None,0,42,4,10,128.6317085267748,515.7202330033991,5.6993723573656565,128.93005825084978
medqa,sequential,role,32,d,d,1,42,10,10,102.86885324867269,413.31335451568594,7.480335653351223,103.32833862892149
medqa,sequential,role,33,c,a,0,42,3,10,135.7291650741548,543.2960548933925,3.3961627001523396,135.82401372334812
medqa,sequential,role,34,a,None,0,42,1,10,96.05707031920393,386.1539947521001,9.516128498747216,96.53849868802503
medqa,sequential,role,35,b,b,1,42,7,10,104.7234756127464,420.30673682546427,6.761371693025042,105.07668420636607
medqa,sequential,role,36,d,None,0,42,9,10,136.63110058130582,547.9437511757138,7.525340627542438,136.98593779392846
medqa,sequential,role,37,b,d,0,42,3,10,180.16916986200832,721.2101697765606,4.0027264774028835,180.30254244414016
medqa,sequential,role,38,d,c,0,42,6,10,143.78466944663418,576.0874738561025,5.540374298699695,144.02186846402563
medqa,sequential,role,39,d,c,0,42,4,10,139.20859501000567,557.6017120152899,5.368082794950728,139.40042800382247
medqa,sequential,role,40,a,c,0,42,5,10,154.5621594331709,619.057527563323,4.0527928150629595,154.76438189083075
medqa,sequential,role,41,d,None,0,42,7,10,148.6263623840041,594.8857723361682,3.3377983492730814,148.72144308404205
medqa,sequential,role,42,c,d,0,42,6,10,107.70191923831061,432.6258805827008,8.085486562214964,108.1564701456752
medqa,sequential,role,43,c,c,1,42,6,10,143.92271775278232,576.6403584933065,4.871630572756912,144.16008962332663
medqa,sequential,role,44,a,b,0,42,6,10,111.79367106911728,448.4395212129595,7.605536891720123,112.10988030323988
medqa,sequential,role,45,d,a,0,42,3,10,128.67591705274006,515.4502802818987,3.8696205816392273,128.86257007047467
medqa,sequential,role,46,d,c,0,42,3,10,157.55325507107293,630.5280567816995,4.155973974264922,157.6320141954249
medqa,sequential,role,47,a,a,1,42,2,10,124.29103945457153,498.44022045827563,6.077647206636583,124.61005511456891
medqa,sequential,role,48,c,None,0,42,6,10,136.1700043008282,545.3054947257034,4.90493408737913,136.32637368142585
medqa,sequential,role,49,a,a,1,42,2,10,150.1848145503862,601.2488200194812,3.345190570986869,150.3122050048703
medqa,sequential,role,50,c,d,0,42,2,10,114.45652353035388,459.3293850045575,7.625440800253991,114.83234625113937
medqa,sequential,role,51,c,c,1,42,9,10,108.55401325834401,436.75475106936074,8.608343309842981,109.18868776734018
medqa,sequential,role,52,d,None,0,42,9,10,145.04103235351647,580.7295120959592,3.340917032524677,145.1823780239898
medqa,sequential,role,53,b,b,1,42,3,10,157.01901559357748,628.9284459963369,5.210750124812094,157.23211149908423
medqa,sequential,role,54,b,d,0,42,8,10,144.13034296739534,577.2035380035773,4.179297289049038,144.3008845008943
medqa,sequential,role,55,d,b,0,42,5,10,141.979784496909,568.5630356027041,4.701577051551025,142.14075890067602
medqa,sequential,role,56,d,None,0,42,10,10,143.34079300461767,573.6102416819659,3.6220930700435288,143.40256042049148
medqa,sequential,role,57,c,c,1,42,4,10,137.55199430897613,551.0851699793126,4.308958935875244,137.77129249482815
medqa,sequential,role,58,a,c,0,42,7,10,131.8553096135838,528.159915213811,4.502174549665725,132.03997880345275
medqa,sequential,role,59,d,c,0,42,2,10,121.39947223636565,486.7529810731539,5.442383013293235,121.68824526828847
medqa,sequential,role,60,d,None,0,42,6,10,153.24658268605566,613.7160311460615,6.089067350292578,153.42900778651537
medqa,sequential,role,61,d,None,0,42,5,10,127.53649461971551,511.39735732667566,8.415856227954626,127.84933933166892
medqa,sequential,role,62,c,c,1,42,5,10,133.27831064945525,534.2958524215079,6.612930372559189,133.57396310537698
medqa,sequential,role,63,d,d,1,42,9,10,110.46931407324571,443.97220475810434,7.55197395941039,110.99305118952608
medqa,sequential,role,64,b,d,0,42,9,10,144.99392220950205,580.7501063932787,5.407845287660597,145.18752659831966
medqa,sequential,role,65,b,None,0,42,10,10,163.97019511584375,656.6535867310846,4.214314623599442,164.16339668277115
medqa,sequential,role,66,b,None,0,42,4,10,145.12006887362452,581.4273181747346,4.871285836144598,145.35682954368366
medqa,sequential,role,67,c,c,1,42,8,10,131.94724706817465,529.2293846824989,7.615425982583302,132.30734617062473
medqa,sequential,role,68,b,d,0,42,5,10,138.93991088643602,556.2927913039548,5.11182428661511,139.0731978259887
medqa,sequential,role,69,b,None,0,42,10,10,152.6605203752153,611.3148202897119,5.058562579455232,152.82870507242797
medqa,sequential,role,70,c,a,0,42,1,10,127.09753624681504,509.41583743198663,5.88802543964763,127.35395935799666
medqa,sequential,role,71,a,d,0,42,6,10,122.02589740707991,488.94755721530026,3.152598228461175,122.23688930382507
medqa,sequential,role,72,c,d,0,42,4,10,132.21676330744086,529.64156096378,4.49449842825242,132.410390240945
medqa,sequential,role,73,a,a,1,42,9,10,129.42618828929818,518.3565859811187,2.920873175167421,129.58914649527966
medqa,sequential,role,74,a,None,0,42,10,10,173.2515005051022,693.7964628751254,4.080756920811376,173.44911571878134
medqa,sequential,role,75,b,c,0,42,4,10,125.79784418123693,503.60047955216277,3.748559922652324,125.90011988804069
medqa,sequential,role,76,a,None,0,42,9,10,135.4007838042054,542.487376989145,4.0680950382654,135.62184424728625
medqa,sequential,role,77,a,c,0,42,2,10,142.70899622899034,571.8169951753763,4.746026911511448,142.95424879384407
medqa,sequential,role,78,c,c,1,42,8,10,103.86373305677805,416.27877959534885,4.297056593114005,104.06969489883721
medqa,sequential,role,79,a,a,1,42,6,10,147.30426107075576,589.703194715348,4.163265370600739,147.425798678837
medqa,sequential,role,80,a,d,0,42,4,10,156.2462547783255,625.9312477857575,5.875756284962312,156.48281194643937
medqa,sequential,role,81,c,c,1,42,4,10,146.10216038516884,585.0045100840543,5.555595621686478,146.2511275210136
medqa,sequential,role,82,c,d,0,42,1,10,112.8073958785664,452.5482235605405,5.58524478620917,113.13705589013513
medqa,sequential,role,83,c,b,0,42,4,10,140.73590321446028,563.7468369935458,4.457148955659109,140.93670924838645
medqa,sequential,role,84,c,b,0,42,1,10,139.48173886853078,558.4506853979748,3.6188712636072693,139.6126713494937
medqa,sequential,role,85,c,None,0,42,3,10,165.1805527613577,661.2564956461553,3.937742397871849,165.31412391153881
medqa,sequential,role,86,b,None,0,42,5,10,154.60953926829228,619.2124573840525,5.815444006899946,154.80311434601313
medqa,sequential,role,87,d,d,1,42,6,10,119.25752409952334,478.20514336006516,4.970452317075876,119.55128584001629
medqa,sequential,role,88,a,None,0,42,8,10,126.59745852709852,507.39920256387586,6.06753371872089,126.84980064096897
medqa,sequential,role,89,a,None,0,42,8,10,174.59540838509713,698.9284883668942,5.673662596501469,174.73212209172354
medqa,sequential,role,90,a,a,1,42,4,10,130.66535956818095,523.4381481593723,3.592598559406577,130.85953703984308
medqa,sequential,role,91,b,d,0,42,2,10,133.52172158288928,535.4847771403104,6.008152338336492,133.8711942850776
medqa,sequential,role,92,a,d,0,42,8,10,156.32658920989286,626.161882160639,4.836345296533414,156.54047054015976
medqa,sequential,role,93,d,d,1,42,1,10,140.44579826102415,562.6187706654182,4.57728989836079,140.65469266635455
medqa,sequential,role,94,a,c,0,42,2,10,154.62489535634177,619.1077454864275,3.3708490024738937,154.77693637160687
medqa,sequential,role,95,c,b,0,42,6,10,122.37519713566844,490.50827764657544,6.886035934394724,122.62706941164386
medqa,sequential,role,96,c,None,0,42,9,10,152.62015319537556,611.2630761704279,5.27691605841003,152.81576904260697
medqa,sequential,role,97,a,a,1,42,4,10,131.95758767530532,528.6688387302264,7.762468447128211,132.1672096825566
medqa,sequential,role,98,d,d,1,42,5,10,109.2084478486152,437.8643950100844,8.23521734405151,109.4660987525211
medqa,sequential,role,99,b,None,0,42,7,10,102.46219274299365,410.6374682692473,4.4379897777433985,102.65936706731182
medqa,sequential,role,100,a,d,0,42,6,10,143.81946178306794,576.5156002697731,5.638774622356498,144.12890006744328
medqa,sequential,role,101,c,None,0,42,8,10,138.10047403767928,552.8093936909809,3.4691508436786966,138.20234842274522
medqa,sequential,role,102,b,None,0,42,4,10,164.41578362642903,657.9084866007358,3.5853443279256094,164.47712165018396
medqa,sequential,role,103,c,d,0,42,4,10,146.04147972611952,584.888613571413,4.571030398051861,146.22215339285324
medqa,sequential,role,104,c,c,1,42,7,10,149.5240609155294,598.5241131484532,4.399195739542661,149.6310282871133
medqa,sequential,role,105,b,None,0,42,5,10,115.01067334938485,462.22670225295525,8.221617846894636,115.55667556323881
medqa,sequential,role,106,c,d,0,42,9,10,162.0067454189674,648.8322449197065,5.054076114345055,162.2080612299266
medqa,sequential,role,107,c,None,0,42,6,10,148.16728624575825,593.2407246751895,4.9742391447753596,148.31018116879738
medqa,sequential,role,108,d,d,1,42,8,10,120.597852511305,483.46583445025306,7.430035766149321,120.86645861256326
medqa,sequential,role,109,b,b,1,42,2,10,155.7354505623643,623.4267367887995,3.0006027711791976,155.85668419719988
medqa,sequential,role,110,b,None,0,42,8,10,181.71192468907898,727.5861320610503,3.576440007544999,181.89653301526258
medqa,sequential,role,111,a,d,0,42,4,10,150.94904462414735,604.5843044076588,4.67075300080259,151.1460761019147
medqa,sequential,role,112,d,a,0,42,2,10,125.07204192763507,502.09585508212774,7.33246324127082,125.52396377053194
medqa,sequential,role,113,b,a,0,42,4,10,172.25651095147268,689.6251806460149,4.567035022180834,172.40629516150372
medqa,sequential,role,114,a,a,1,42,3,10,150.1583003178381,600.9767122169403,6.420452450596687,150.24417805423508
