task,prompt,model,no_uq_acc,anchor_acc,continuous_acc,anchor_vs_no_uq,continuous_vs_no_uq,no_uq_log,anchor_log,continuous_log,best_method,best_acc,best_vs_no_uq
aime2024,hierarchical,Qwen/Qwen3-8B,0.5,0.5666666666666667,,0.06666666666666665,,/u/yliu105/MAS_UQ/log/no_uq_aime2024_1961322_3.out,/u/yliu105/MAS_UQ/log/base_aime2024_anchor_1961323_3.out,,anchor,0.5666666666666667,0.06666666666666665
aime2024,hierarchical,google/gemma-3-12b-it,0.23333333333333334,0.23333333333333334,,0.0,,/u/yliu105/MAS_UQ/log/no_uq_aime2024_1961322_1.out,/u/yliu105/MAS_UQ/log/base_aime2024_anchor_1961323_1.out,,anchor/no_uq,0.23333333333333334,0.0
aime2024,sequential,Qwen/Qwen3-8B,0.5666666666666667,0.6333333333333333,,0.06666666666666665,,/u/yliu105/MAS_UQ/log/no_uq_aime2024_1961322_2.out,/u/yliu105/MAS_UQ/log/base_aime2024_anchor_1961323_2.out,,anchor,0.6333333333333333,0.06666666666666665
aime2024,sequential,google/gemma-3-12b-it,0.26666666666666666,0.16666666666666666,,-0.1,,/u/yliu105/MAS_UQ/log/no_uq_aime2024_1961322_0.out,/u/yliu105/MAS_UQ/log/base_aime2024_anchor_1961323_0.out,,no_uq,0.26666666666666666,0.0
humanevalplus,hierarchical,Qwen/Qwen3-8B,0.8780487804878049,0.9024390243902439,,0.024390243902439046,,/u/yliu105/MAS_UQ/log/no_uq_humanevalplus_1961301_3.out,/u/yliu105/MAS_UQ/log/base_humanevalplus_anchor_1961303_3.out,,anchor,0.9024390243902439,0.024390243902439046
humanevalplus,hierarchical,google/gemma-3-12b-it,0.75,0.7682926829268293,,0.018292682926829285,,/u/yliu105/MAS_UQ/log/no_uq_humanevalplus_1961301_1.out,/u/yliu105/MAS_UQ/log/base_humanevalplus_anchor_1961303_1.out,,anchor,0.7682926829268293,0.018292682926829285
humanevalplus,sequential,Qwen/Qwen3-8B,0.9085365853658537,0.8902439024390244,,-0.018292682926829285,,/u/yliu105/MAS_UQ/log/no_uq_humanevalplus_1961301_2.out,/u/yliu105/MAS_UQ/log/base_humanevalplus_anchor_1961303_2.out,,no_uq,0.9085365853658537,0.0
humanevalplus,sequential,google/gemma-3-12b-it,0.7560975609756098,0.7378048780487805,,-0.018292682926829285,,/u/yliu105/MAS_UQ/log/no_uq_humanevalplus_1961301_0.out,/u/yliu105/MAS_UQ/log/base_humanevalplus_anchor_1961303_0.out,,no_uq,0.7560975609756098,0.0
mbppplus,hierarchical,Qwen/Qwen3-8B,0.8042328042328042,0.7962962962962963,0.7962962962962963,-0.007936507936507908,-0.007936507936507908,/u/yliu105/MAS_UQ/log/no_uq_mbppplus_1959655_3.out,/u/yliu105/MAS_UQ/log/base_mbppplus_anchor_1959672_3.out,/u/yliu105/MAS_UQ/log/base_mbppplus_cont_1959681_3.out,no_uq,0.8042328042328042,0.0
mbppplus,hierarchical,google/gemma-3-12b-it,0.7645502645502645,0.753968253968254,0.7698412698412699,-0.010582010582010581,0.005291005291005346,/u/yliu105/MAS_UQ/log/no_uq_mbppplus_1959668_1.out,/u/yliu105/MAS_UQ/log/base_mbppplus_anchor_1959672_1.out,/u/yliu105/MAS_UQ/log/base_mbppplus_cont_1959681_1.out,continuous,0.7698412698412699,0.005291005291005346
mbppplus,sequential,Qwen/Qwen3-8B,0.8095238095238095,0.791005291005291,0.8095238095238095,-0.01851851851851849,0.0,/u/yliu105/MAS_UQ/log/no_uq_mbppplus_1959655_2.out,/u/yliu105/MAS_UQ/log/base_mbppplus_anchor_1959672_2.out,/u/yliu105/MAS_UQ/log/base_mbppplus_cont_1959681_2.out,continuous/no_uq,0.8095238095238095,0.0
mbppplus,sequential,google/gemma-3-12b-it,0.6798941798941799,0.6957671957671958,0.6957671957671958,0.015873015873015928,0.015873015873015928,/u/yliu105/MAS_UQ/log/no_uq_mbppplus_1959655_0.out,/u/yliu105/MAS_UQ/log/base_mbppplus_anchor_1959672_0.out,/u/yliu105/MAS_UQ/log/base_mbppplus_cont_1959681_0.out,anchor/continuous,0.6957671957671958,0.015873015873015928
