task,prompt,model,mode,accuracy,metric_name,auroc,auroc_gap_to_best,ece,ece_gap_to_best,brier,brier_gap_to_best,n_with_uncertainty,metrics_path
aime2024,hierarchical,Qwen/Qwen3-8B,anchor,0.5666666666666667,Formula-Uncertainty-Final,0.2857142857142857,0.2142857142857143,0.2668138586956522,0.08203125000000006,0.28428890394127887,0.03244867581511629,23,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_aime2024_hierarchical_anchor_test_seed42_n30.json
aime2024,hierarchical,Qwen/Qwen3-8B,anchor,0.5666666666666667,Formula-Uncertainty-Max,0.2544642857142857,0.2455357142857143,0.2820991847826087,0.09731657608695654,0.29271440920622455,0.040874181080061966,23,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_aime2024_hierarchical_anchor_test_seed42_n30.json
aime2024,hierarchical,Qwen/Qwen3-8B,anchor,0.5666666666666667,Formula-Uncertainty-Mean,0.25,0.25,0.27894658627717395,0.09416397758152178,0.29525133751440735,0.04341110938824477,23,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_aime2024_hierarchical_anchor_test_seed42_n30.json
aime2024,hierarchical,Qwen/Qwen3-8B,anchor,0.5666666666666667,Hazard-h-Final,0.35,0.15000000000000002,0.22079613095238093,0.03601352225672877,0.2518402281261626,0.0,21,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_aime2024_hierarchical_anchor_test_seed42_n30.json
aime2024,hierarchical,Qwen/Qwen3-8B,anchor,0.5666666666666667,Hazard-h-Max,0.26785714285714285,0.23214285714285715,0.2984035326086957,0.11362092391304351,0.2889779961627463,0.037137768036583696,23,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_aime2024_hierarchical_anchor_test_seed42_n30.json
aime2024,hierarchical,Qwen/Qwen3-8B,anchor,0.5666666666666667,Hazard-h-Mean,0.22767857142857142,0.2723214285714286,0.26327558876811596,0.0784929800724638,0.289738486930368,0.03789825880420544,23,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_aime2024_hierarchical_anchor_test_seed42_n30.json
aime2024,hierarchical,Qwen/Qwen3-8B,anchor,0.5666666666666667,System-Uncertainty-Final,0.22321428571428573,0.2767857142857143,0.263648601297899,0.07886599260224686,0.28938645364768373,0.03754622552152115,23,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_aime2024_hierarchical_anchor_test_seed42_n30.json
aime2024,hierarchical,Qwen/Qwen3-8B,anchor,0.5666666666666667,Uncertainty-Final,0.5,0.0,0.2391304347826087,0.05434782608695654,0.266304347826087,0.014464119699924394,23,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_aime2024_hierarchical_anchor_test_seed42_n30.json
aime2024,hierarchical,Qwen/Qwen3-8B,anchor,0.5666666666666667,Uncertainty-Max,0.32142857142857145,0.17857142857142855,0.18478260869565216,0.0,0.27445652173913043,0.022616293612967853,23,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_aime2024_hierarchical_anchor_test_seed42_n30.json
aime2024,hierarchical,Qwen/Qwen3-8B,anchor,0.5666666666666667,Uncertainty-Mean,0.25,0.25,0.2490942028985507,0.06431159420289853,0.29436518719806765,0.042524959071905066,23,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_aime2024_hierarchical_anchor_test_seed42_n30.json
aime2024,hierarchical,google/gemma-3-12b-it,anchor,0.23333333333333334,Formula-Uncertainty-Final,0.49166666666666664,0.2375,0.2032752403846154,0.06370192307692307,0.2828421959510216,0.07881047175480768,26,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_aime2024_hierarchical_anchor_test_seed42_n30.json
aime2024,hierarchical,google/gemma-3-12b-it,anchor,0.23333333333333334,Formula-Uncertainty-Max,0.5833333333333334,0.14583333333333326,0.13957331730769232,0.0,0.20403172419621393,0.0,26,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_aime2024_hierarchical_anchor_test_seed42_n30.json
