task,prompt,model,mode,accuracy,best_auroc_metric,best_auroc,best_ece_metric,best_ece,best_brier_metric,best_brier,metrics_path
aime2024,hierarchical,Qwen/Qwen3-8B,anchor,0.5666666666666667,Uncertainty-Final,0.5,Uncertainty-Max,0.18478260869565216,Hazard-h-Final,0.2518402281261626,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_aime2024_hierarchical_anchor_test_seed42_n30.json
aime2024,hierarchical,google/gemma-3-12b-it,anchor,0.23333333333333334,Uncertainty-Final,0.7291666666666666,Formula-Uncertainty-Max,0.13957331730769232,Formula-Uncertainty-Max,0.20403172419621393,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_aime2024_hierarchical_anchor_test_seed42_n30.json
aime2024,sequential,Qwen/Qwen3-8B,anchor,0.6333333333333333,Uncertainty-Final,0.7894736842105263,Uncertainty-Mean,0.12099358974358972,Uncertainty-Final,0.17548076923076922,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_aime2024_sequential_anchor_test_seed42_n30.json
aime2024,sequential,google/gemma-3-12b-it,anchor,0.16666666666666666,Hazard-h-Final,0.5875,Hazard-h-Final,0.139617919921875,Hazard-h-Final,0.1673279528816541,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_aime2024_sequential_anchor_test_seed42_n30.json
humanevalplus,hierarchical,Qwen/Qwen3-8B,anchor,0.9024390243902439,Uncertainty-Mean,0.7981418918918919,Uncertainty-Mean,0.04763719512195123,Uncertainty-Mean,0.07433784298780488,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_humanevalplus_hierarchical_anchor_test_seed42_n164.json
humanevalplus,hierarchical,google/gemma-3-12b-it,anchor,0.7682926829268293,Uncertainty-Final,0.6400375939849624,Uncertainty-Final,0.1478658536585366,Uncertainty-Final,0.1916920731707317,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_humanevalplus_hierarchical_anchor_test_seed42_n164.json
humanevalplus,sequential,Qwen/Qwen3-8B,anchor,0.8902439024390244,Uncertainty-Mean,0.8202054794520548,Uncertainty-Mean,0.11394817073170734,Uncertainty-Mean,0.09190538194444445,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_humanevalplus_sequential_anchor_test_seed42_n164.json
humanevalplus,sequential,google/gemma-3-12b-it,anchor,0.7378048780487805,Uncertainty-Mean,0.6461656736498174,Uncertainty-Mean,0.09743394308943092,Uncertainty-Mean,0.19340436568428185,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_humanevalplus_sequential_anchor_test_seed42_n164.json
mbppplus,hierarchical,Qwen/Qwen3-8B,anchor,0.7962962962962963,Uncertainty-Mean,0.7021831988609397,Uncertainty-Max,0.04629629629629628,Hazard-h-Mean,0.15272388495433697,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_mbppplus_hierarchical_anchor_test_seed42_n378.json
mbppplus,hierarchical,Qwen/Qwen3-8B,continuous,0.7962962962962963,Uncertainty-Mean,0.6849894291754757,System-Uncertainty-Final,0.025790423292302477,Hazard-h-Mean,0.1541585260931747,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_mbppplus_hierarchical_continuous_test_seed42_n378.json
mbppplus,hierarchical,google/gemma-3-12b-it,anchor,0.753968253968254,Uncertainty-Final,0.602964561562926,Uncertainty-Final,0.18501326259946949,Uncertainty-Final,0.21269893899204245,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_mbppplus_hierarchical_anchor_test_seed42_n378.json
mbppplus,hierarchical,google/gemma-3-12b-it,continuous,0.7698412698412699,Uncertainty-Mean,0.6424536872457243,Formula-Uncertainty-Max,0.03789775285548916,Formula-Uncertainty-Max,0.1675397854059907,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_mbppplus_hierarchical_continuous_test_seed42_n378.json
mbppplus,sequential,Qwen/Qwen3-8B,anchor,0.791005291005291,Formula-Uncertainty-Final,0.7187248634689472,Uncertainty-Final,0.056216931216931186,Uncertainty-Mean,0.14582414756025866,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_mbppplus_sequential_anchor_test_seed42_n378.json
mbppplus,sequential,Qwen/Qwen3-8B,continuous,0.8095238095238095,Hazard-h-Final,0.6240196078431373,Uncertainty-Max,0.039550264550266084,Uncertainty-Max,0.14607804232804253,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_mbppplus_sequential_continuous_test_seed42_n378.json
mbppplus,sequential,google/gemma-3-12b-it,anchor,0.6957671957671958,Uncertainty-Mean,0.6953215407505373,Uncertainty-Mean,0.06729497354497359,Uncertainty-Mean,0.19766520612874777,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_mbppplus_sequential_anchor_test_seed42_n378.json
mbppplus,sequential,google/gemma-3-12b-it,continuous,0.6957671957671958,Hazard-h-Final,0.7597625588697017,Formula-Uncertainty-Max,0.08331574675512696,Hazard-h-Final,0.18009012585340495,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_mbppplus_sequential_continuous_test_seed42_n378.json
